time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.0;videos/cuts_test/50wtf9.mp4;walk;(638.33, 158.03);(640.12, 146.46);(640.04, 146.35);(639.71, 146.14);(636.46, 144.37);(633.66, 142.8);(630.53, 141.13);(624.67, 141.36);(613.97, 135.73);(630.32, 166.67);(625.48, 164.55);(604.89, 197.57);(565.62, 166.18);(647.72, 232.83);(544.75, 126.74);(701.18, 255.42);(563.2, 79.12);(718.55, 258.68);(570.74, 63.4);(722.24, 257.92);(577.12, 61.12);(715.4, 258.12);(575.55, 68.53);(542.89, 330.36);(539.09, 332.27);(549.41, 439.96);(571.89, 441.78);(498.87, 562.24);(585.07, 558.0);(486.72, 579.96);(576.59, 579.32);(541.49, 601.44);(629.08, 594.18)
0.04;videos/cuts_test/50wtf9.mp4;walk;(639.4, 158.24);(641.01, 146.69);(640.96, 146.55);(640.75, 146.3);(637.31, 144.52);(634.45, 142.88);(631.07, 141.15);(624.92, 141.55);(614.38, 135.87);(630.61, 167.66);(625.96, 165.58);(606.02, 199.58);(564.94, 164.46);(648.55, 235.34);(544.53, 121.15);(702.39, 264.16);(561.65, 62.88);(718.55, 266.05);(568.23, 41.46);(721.74, 264.75);(576.44, 41.79);(715.36, 265.06);(575.51, 49.8);(542.16, 329.47);(539.27, 330.53);(546.24, 440.85);(574.51, 441.64);(499.48, 562.48);(585.19, 558.09);(488.43, 580.1);(576.93, 576.51);(543.72, 602.81);(624.64, 590.64)
0.08;videos/cuts_test/50wtf9.mp4;walk;(641.25, 158.78);(643.06, 147.54);(643.03, 147.45);(642.91, 147.24);(639.3, 145.08);(636.36, 143.23);(632.93, 141.32);(626.88, 142.93);(616.12, 136.19);(631.87, 168.91);(627.48, 166.66);(610.52, 203.98);(563.49, 162.31);(651.44, 243.91);(544.12, 110.65);(704.15, 273.56);(557.66, 41.73);(721.13, 277.05);(563.41, 16.36);(724.02, 274.51);(571.02, 15.07);(717.21, 273.99);(570.89, 27.08);(544.07, 329.45);(537.83, 329.83);(546.09, 441.87);(574.44, 442.35);(499.9, 562.47);(585.29, 559.75);(489.92, 579.9);(577.08, 576.59);(544.01, 603.19);(624.77, 590.77)
0.13;videos/cuts_test/50wtf9.mp4;walk;(643.54, 159.6);(645.38, 148.53);(645.29, 148.43);(645.07, 148.18);(641.74, 146.08);(638.84, 144.14);(635.51, 142.05);(628.86, 143.99);(618.47, 137.04);(633.93, 170.0);(629.76, 167.72);(613.59, 208.12);(563.46, 160.66);(654.33, 253.94);(544.17, 99.63);(706.56, 282.37);(554.63, 26.23);(724.46, 287.25);(558.75, 0.84);(727.43, 284.98);(565.36, -1.6);(720.3, 284.04);(565.03, 7.66);(546.24, 329.44);(535.57, 329.24);(546.18, 442.42);(571.51, 442.94);(500.61, 562.08);(584.7, 559.56);(491.81, 578.8);(576.61, 575.05);(544.98, 603.12);(625.05, 590.87)
0.17;videos/cuts_test/50wtf9.mp4;walk;(645.71, 161.36);(648.18, 150.31);(648.03, 150.22);(647.67, 149.97);(645.08, 148.12);(642.43, 146.32);(639.29, 144.3);(631.65, 146.29);(621.51, 139.05);(636.19, 171.67);(632.3, 169.33);(616.56, 212.77);(563.49, 159.31);(657.48, 260.63);(545.87, 93.68);(709.07, 290.53);(553.36, 11.29);(726.83, 296.7);(555.11, -8.83);(730.38, 294.24);(558.38, -12.14);(723.12, 293.41);(558.38, -6.81);(548.84, 329.8);(532.7, 328.56);(546.26, 442.54);(565.89, 442.95);(501.96, 560.05);(583.87, 558.7);(494.1, 578.15);(575.81, 575.02);(544.95, 602.92);(623.64, 590.89)
0.21;videos/cuts_test/50wtf9.mp4;walk;(647.81, 162.55);(650.48, 152.08);(650.33, 152.2);(649.98, 152.16);(647.5, 149.76);(644.88, 148.16);(641.83, 146.3);(635.47, 149.7);(623.96, 140.96);(639.0, 172.73);(634.84, 170.17);(619.65, 215.02);(564.04, 157.53);(660.58, 267.26);(548.61, 82.81);(711.67, 298.69);(553.73, -3.13);(728.54, 303.81);(555.13, -23.1);(731.87, 300.17);(557.78, -26.97);(724.98, 299.36);(557.9, -22.51);(550.76, 330.33);(530.36, 327.4);(547.9, 442.5);(559.5, 442.89);(505.36, 555.27);(581.0, 557.1);(497.77, 575.78);(572.28, 574.48);(547.97, 596.03);(607.58, 588.55)
0.25;videos/cuts_test/50wtf9.mp4;walk;(650.41, 164.87);(652.87, 154.45);(652.62, 154.61);(652.17, 154.67);(650.15, 152.12);(647.62, 150.5);(644.69, 148.59);(638.37, 152.59);(627.2, 143.16);(642.29, 174.05);(638.18, 171.07);(619.03, 215.35);(566.05, 157.35);(659.43, 269.59);(553.28, 77.36);(711.14, 303.63);(554.16, -10.61);(728.14, 309.28);(555.28, -32.81);(731.35, 305.62);(557.87, -37.74);(724.47, 304.34);(558.67, -31.91);(550.64, 330.36);(530.29, 326.53);(550.01, 442.81);(559.74, 443.36);(505.12, 559.38);(579.08, 557.18);(496.91, 577.09);(568.81, 575.38);(548.03, 599.5);(611.65, 595.52)
0.29;videos/cuts_test/50wtf9.mp4;walk;(652.25, 165.36);(654.45, 154.94);(654.3, 155.16);(653.96, 155.31);(651.16, 152.39);(648.53, 150.73);(645.59, 148.81);(640.56, 153.35);(628.69, 143.63);(644.48, 174.43);(640.1, 171.33);(618.8, 214.89);(569.24, 157.62);(658.66, 270.71);(557.59, 74.09);(711.16, 306.96);(556.91, -16.01);(728.07, 312.14);(556.34, -39.06);(731.09, 308.67);(559.18, -45.6);(724.36, 307.35);(560.06, -39.15);(550.54, 330.68);(530.51, 325.99);(552.1, 444.82);(559.52, 445.58);(514.03, 558.46);(571.81, 557.91);(496.94, 577.05);(562.74, 576.73);(561.41, 601.18);(606.42, 607.0)
0.33;videos/cuts_test/50wtf9.mp4;walk;(654.53, 166.01);(656.36, 155.51);(656.18, 155.62);(655.77, 155.66);(653.13, 152.91);(650.61, 151.19);(647.85, 149.32);(642.04, 153.3);(631.16, 144.38);(646.75, 174.76);(642.59, 171.88);(619.17, 214.18);(572.61, 157.69);(658.52, 269.45);(560.6, 72.19);(710.94, 304.59);(560.87, -15.51);(727.71, 309.73);(556.85, -39.89);(730.75, 306.78);(559.81, -50.4);(724.11, 305.77);(560.62, -41.62);(550.91, 331.86);(530.76, 326.1);(553.41, 446.03);(558.87, 446.63);(522.57, 557.87);(573.29, 557.92);(499.11, 577.08);(560.9, 576.76);(567.63, 592.6);(608.47, 604.74)
0.38;videos/cuts_test/50wtf9.mp4;walk;(657.47, 166.25);(659.27, 155.49);(659.0, 155.52);(658.49, 155.48);(656.33, 153.0);(653.94, 151.23);(651.17, 149.32);(643.96, 152.85);(633.92, 144.42);(649.09, 174.89);(645.24, 172.22);(619.16, 214.12);(575.66, 157.44);(658.67, 266.89);(562.4, 70.67);(710.72, 299.37);(566.52, -13.29);(727.47, 304.62);(561.63, -41.48);(730.53, 301.91);(563.6, -50.01);(724.17, 301.03);(564.94, -41.92);(552.05, 331.87);(530.89, 326.07);(557.63, 446.26);(557.63, 447.45);(548.16, 556.48);(556.89, 557.77);(525.93, 575.36);(528.86, 576.4);(588.96, 591.27);(580.15, 603.46)
